input.sentences,output.sentences,persona.age
pop culture references dotted the city .,Second is the famous Elvis Presley muesum.,18-24
ah | good friends . we had a great time .,Ah! Good times with friends,18-24
this is an example of ancient pottery .,IT IS A POT,25-34
they wished they were allowed inside .,The couple wished they were allowed inside.,18-24
a lot of them had their own gardens and were very pretty .,It was on a lot in the center of town surrounded by pretty gardens.,25-34
a simple rehearsal began .,forgot was this gathering was for,25-34
the kids were really having a great time .,IT IS A COLORFUL LIGHTS,25-34
it began snowing at night | i noticed on our balcony .,The dog was ready to go.,25-34
all the parents have their camera pointed at the stage .,My parents were so excited i could see them ready to film with their camera.,18-24
there were many of them,Here you can see a poster and the hidden bikes.,25-34
we even planted some sunflowers .,We planted sunflowers later.,25-34
and they did agree to take questions afterwards .,So every one please get in gear and lets make this happen,25-34
everyone was very warm and friendly .,The atmosphere was warm and friendly the entire party.,25-34
her little sister might be a little too small for the new bike,THIS GIRL ALSO CYCLING,25-34
i invited all of my friends to join me .,Angie and Carla are finally seeing each other after 5 years.,18-24
i hit the ball too hard and it went way up in the air .,The serve was hard and the ball ended up on roof.,35-44
how about a quiet home where the family is nestled in their coziest spots,It was a beautiful day for him.,25-34
i was really happy to finally pass boot camp .,He had a great time on the hike.,25-34
then we visit the booths to play games and win prizes !,You could win prizes if you visited the booths,18-24
my daughter looked onto the horizon and talked about her dreams .,My neice was all too happy to just take in the surroundings.,18-24
some of the adults had fun with fake mustaches .,Dad even got in on the fun a sported a few different fake mustaches throughout the day.,35-44
there was also several types of garlic .,And there was plenty of garlic.,25-34
the neighbors threw a big party and invited all the children | who had fun with the goat and the horse and the other animals there .,The neighbors threw a party for the arrival for this pet.,18-24
the winner 's circle . it was a great race and i had a fun time .,Winner annouced and everyone celebrated,18-24
it was a long race .,He was going as fast as he could.,18-24
as we do every year | i took a bunch of pictures of him on the first day of school .,He thanked his mother for the nutritious meal.,25-34
this bike racer waves to all of his adoring fans .,The winning racer waves at his fans.,18-24
my friend is so warm blooded she was the only one in a bathing suit . it was chilly !,On warm days I like to wear a bathing suit to the beach.,25-34
he won tickets to see his team play .,They think the best time is to have tickets for there favorite team and to watch them play.,45-54
while the adults ate fish they caught .,"The adults cooked a fish they caught, which they ate with fries.",25-34
the racecars are lined up .,The racers lined up.,18-24
everyone listened intently .,THEY ARE LINE FORM IN THE ROW,18-24
the statue had a nice feel to it,The dog was ready to go.,25-34
the tower was large .,He had a great time on the hike.,25-34
at half time we got to see the cheerleaders dance and cheer .,Cheerleaders entertained us with a halftime dance,55-74
most of these citizen breath it in on a daily basis .,Daily pollution taints the breath of every citizen.,25-34
we had some great scenic views from where we stayed .,We finished our tour at a farm where we enjoyed a picnic just before sunset.,45-54
she was surprised by her cheerleader cake !,The cake was a huge hit as we surprised her with a cheerleader cake.,35-44
opps ! getting a little too close to the flame | let 's save the fireworks for later !,There was a small mishap with a firecracker.,18-24
my new wife looks so beautiful !,It's Jane's wedding day.,55-74
and the guys run .,I also enjoy watching the guys run.,25-34
the villagers waited patiently for the new medication .,"I saw them that waited, the villagers and they did so patiently.",35-44
this sculpture was on the lawn of the institution.,"Yep it was a horror movie, no picture loaded.",35-44
i eventually turned back and went home .,The rides were finally set up and the street was no longer bare.,25-34
one particular box shaped kite got all the attention and applause .,One kite was shaped like a box.,35-44
with the large field .,Here you will find lots of really good fun activities,25-34
they also look at the back of the house where there are 2 garages .,He had a great time on the hike.,25-34
